Mutant ID,MTG ID,Status,Notes,Actual Output SI,Actual Output FI,Actual Output Relation,MR Verdict
M1,MTG1,Not Equivalent,"SI=11.0, FI=11.0","Shortest path: ['A', 'D', 'E', 'G']
Total distance: 11.0","Shortest path: ['G', 'E', 'D', 'A']
Total distance: 11.0",source distance == follow-up distance,PASS
M1,MTG2,Not Equivalent,"SI=5.0, FI=5.0","Shortest path: ['1', '3', '4', '6']
Total distance: 5.0","Shortest path: ['6', '4', '3', '1']
Total distance: 5.0",source distance == follow-up distance,PASS
M1,MTG3,Not Equivalent,"SI=8.0, FI=8.0","Shortest path: ['P', 'R', 'Q', 'S']
Total distance: 8.0","Shortest path: ['S', 'Q', 'R', 'P']
Total distance: 8.0",source distance == follow-up distance,PASS
M1,MTG4,Not Equivalent,"SI=9.0, FI=9.0","Shortest path: ['X', 'Y', 'W', 'V']
Total distance: 9.0","Shortest path: ['V', 'W', 'Y', 'X']
Total distance: 9.0",source distance == follow-up distance,PASS
M1,MTG5,Not Equivalent,"SI=3.0, FI=3.0","Shortest path: ['S', 'A', 'C', 'T']
Total distance: 3.0","Shortest path: ['T', 'C', 'A', 'S']
Total distance: 3.0",source distance == follow-up distance,PASS
M2,MTG1,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['A']
Total distance: inf","Shortest path: ['G']
Total distance: inf",source distance == follow-up distance,PASS
M2,MTG2,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['1']
Total distance: inf","Shortest path: ['6']
Total distance: inf",source distance == follow-up distance,PASS
M2,MTG3,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['P']
Total distance: inf","Shortest path: ['S']
Total distance: inf",source distance == follow-up distance,PASS
M2,MTG4,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['X']
Total distance: inf","Shortest path: ['V']
Total distance: inf",source distance == follow-up distance,PASS
M2,MTG5,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['S']
Total distance: inf","Shortest path: ['T']
Total distance: inf",source distance == follow-up distance,PASS
M3,MTG1,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['A']
Total distance: inf","Shortest path: ['G']
Total distance: inf",source distance == follow-up distance,PASS
M3,MTG2,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['1']
Total distance: inf","Shortest path: ['6']
Total distance: inf",source distance == follow-up distance,PASS
M3,MTG3,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['P']
Total distance: inf","Shortest path: ['S']
Total distance: inf",source distance == follow-up distance,PASS
M3,MTG4,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['X']
Total distance: inf","Shortest path: ['V']
Total distance: inf",source distance == follow-up distance,PASS
M3,MTG5,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['S']
Total distance: inf","Shortest path: ['T']
Total distance: inf",source distance == follow-up distance,PASS
M4,MTG1,Not Equivalent,"SI=17.0, FI=15.0","Shortest path: ['A', 'B', 'C', 'D', 'F', 'G']
Total distance: 17.0","Shortest path: ['G', 'F', 'D', 'C', 'A']
Total distance: 15.0",source distance ≠ follow-up distance,FAIL
M4,MTG2,Not Equivalent,"SI=5.0, FI=5.0","Shortest path: ['1', '2', '4', '6']
Total distance: 5.0","Shortest path: ['6', '4', '3', '1']
Total distance: 5.0",source distance == follow-up distance,PASS
M4,MTG3,Not Equivalent,"SI=8.0, FI=8.0","Shortest path: ['P', 'R', 'Q', 'S']
Total distance: 8.0","Shortest path: ['S', 'Q', 'R', 'P']
Total distance: 8.0",source distance == follow-up distance,PASS
M4,MTG4,Not Equivalent,"SI=9.0, FI=9.0","Shortest path: ['X', 'Y', 'W', 'V']
Total distance: 9.0","Shortest path: ['V', 'W', 'Y', 'X']
Total distance: 9.0",source distance == follow-up distance,PASS
M4,MTG5,Not Equivalent,"SI=3.0, FI=3.0","Shortest path: ['S', 'A', 'C', 'T']
Total distance: 3.0","Shortest path: ['T', 'C', 'A', 'S']
Total distance: 3.0",source distance == follow-up distance,PASS
M5,MTG1,Not Equivalent,Output did not contain a parseable distance,"Shortest path: ['A', 'D', 'F', 'G']
Total distance: -13.0","Shortest path: ['G', 'F', 'E', 'C', 'B', 'A']
Total distance: -26.0",ERROR - could not parse distance,ERROR
M5,MTG2,Not Equivalent,Output did not contain a parseable distance,"Shortest path: ['1', '2', '5', '6']
Total distance: -12.0","Shortest path: ['6', '4', '2', '1']
Total distance: -9.0",ERROR - could not parse distance,ERROR
M5,MTG3,Not Equivalent,Output did not contain a parseable distance,"Shortest path: ['P', 'Q', 'S']
Total distance: -12.0","Shortest path: ['S', 'R', 'P']
Total distance: -11.0",ERROR - could not parse distance,ERROR
M5,MTG4,Not Equivalent,Output did not contain a parseable distance,"Shortest path: ['X', 'Z', 'W', 'V']
Total distance: -9.0","Shortest path: ['V', 'W', 'Y', 'X']
Total distance: -9.0",ERROR - could not parse distance,ERROR
M5,MTG5,Not Equivalent,Output did not contain a parseable distance,"Shortest path: ['S', 'B', 'T']
Total distance: -101.0","Shortest path: ['T', 'B', 'S']
Total distance: -101.0",ERROR - could not parse distance,ERROR
M6,MTG1,Not Equivalent,"SI=0.0, FI=0.0","Shortest path: ['A', 'C', 'E', 'G']
Total distance: 0.0","Shortest path: ['G', 'F', 'D', 'A']
Total distance: 0.0",source distance == follow-up distance,PASS
M6,MTG2,Not Equivalent,"SI=0.0, FI=0.0","Shortest path: ['1', '3', '4', '6']
Total distance: 0.0","Shortest path: ['6', '4', '3', '1']
Total distance: 0.0",source distance == follow-up distance,PASS
M6,MTG3,Not Equivalent,"SI=0.0, FI=0.0","Shortest path: ['P', 'R', 'S']
Total distance: 0.0","Shortest path: ['S', 'Q', 'P']
Total distance: 0.0",source distance == follow-up distance,PASS
M6,MTG4,Not Equivalent,"SI=0.0, FI=0.0","Shortest path: ['X', 'Y', 'W', 'V']
Total distance: 0.0","Shortest path: ['V', 'W', 'Y', 'X']
Total distance: 0.0",source distance == follow-up distance,PASS
M6,MTG5,Not Equivalent,"SI=0.0, FI=0.0","Shortest path: ['S', 'A', 'D', 'T']
Total distance: 0.0","Shortest path: ['T', 'B', 'S']
Total distance: 0.0",source distance == follow-up distance,PASS
M7,MTG1,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['A']
Total distance: inf","Shortest path: ['G']
Total distance: inf",source distance == follow-up distance,PASS
M7,MTG2,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['1']
Total distance: inf","Shortest path: ['6']
Total distance: inf",source distance == follow-up distance,PASS
M7,MTG3,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['P']
Total distance: inf","Shortest path: ['S']
Total distance: inf",source distance == follow-up distance,PASS
M7,MTG4,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['X']
Total distance: inf","Shortest path: ['V']
Total distance: inf",source distance == follow-up distance,PASS
M7,MTG5,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['S']
Total distance: inf","Shortest path: ['T']
Total distance: inf",source distance == follow-up distance,PASS
M8,MTG1,Not Equivalent,"SI=6.0, FI=10.0","Shortest path: ['A', 'B', 'E', 'G']
Total distance: 6.0","Shortest path: ['G', 'E', 'B', 'A']
Total distance: 10.0",source distance ≠ follow-up distance,FAIL
M8,MTG2,Not Equivalent,"SI=4.0, FI=4.0","Shortest path: ['1', '3', '4', '6']
Total distance: 4.0","Shortest path: ['6', '4', '3', '1']
Total distance: 4.0",source distance == follow-up distance,PASS
M8,MTG3,Not Equivalent,"SI=4.0, FI=6.0","Shortest path: ['P', 'R', 'Q', 'S']
Total distance: 4.0","Shortest path: ['S', 'Q', 'R', 'P']
Total distance: 6.0",source distance ≠ follow-up distance,FAIL
M8,MTG4,Not Equivalent,"SI=4.0, FI=8.0","Shortest path: ['X', 'Y', 'W', 'V']
Total distance: 4.0","Shortest path: ['V', 'W', 'Y', 'X']
Total distance: 8.0",source distance ≠ follow-up distance,FAIL
M8,MTG5,Not Equivalent,"SI=2.0, FI=2.0","Shortest path: ['S', 'A', 'C', 'T']
Total distance: 2.0","Shortest path: ['T', 'C', 'A', 'S']
Total distance: 2.0",source distance == follow-up distance,PASS
M9,MTG1,Not Equivalent,"SI=14.0, FI=14.0","Shortest path: ['A', 'D', 'E', 'G']
Total distance: 14.0","Shortest path: ['G', 'E', 'D', 'A']
Total distance: 14.0",source distance == follow-up distance,PASS
M9,MTG2,Not Equivalent,"SI=8.0, FI=8.0","Shortest path: ['1', '3', '4', '6']
Total distance: 8.0","Shortest path: ['6', '4', '3', '1']
Total distance: 8.0",source distance == follow-up distance,PASS
M9,MTG3,Not Equivalent,"SI=11.0, FI=11.0","Shortest path: ['P', 'R', 'Q', 'S']
Total distance: 11.0","Shortest path: ['S', 'Q', 'R', 'P']
Total distance: 11.0",source distance == follow-up distance,PASS
M9,MTG4,Not Equivalent,"SI=12.0, FI=12.0","Shortest path: ['X', 'Y', 'W', 'V']
Total distance: 12.0","Shortest path: ['V', 'W', 'Z', 'X']
Total distance: 12.0",source distance == follow-up distance,PASS
M9,MTG5,Not Equivalent,"SI=6.0, FI=6.0","Shortest path: ['S', 'A', 'C', 'T']
Total distance: 6.0","Shortest path: ['T', 'C', 'A', 'S']
Total distance: 6.0",source distance == follow-up distance,PASS
M10,MTG1,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['A']
Total distance: inf","Shortest path: ['G']
Total distance: inf",source distance == follow-up distance,PASS
M10,MTG2,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['1']
Total distance: inf","Shortest path: ['6']
Total distance: inf",source distance == follow-up distance,PASS
M10,MTG3,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['P']
Total distance: inf","Shortest path: ['S']
Total distance: inf",source distance == follow-up distance,PASS
M10,MTG4,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['X']
Total distance: inf","Shortest path: ['V']
Total distance: inf",source distance == follow-up distance,PASS
M10,MTG5,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['S']
Total distance: inf","Shortest path: ['T']
Total distance: inf",source distance == follow-up distance,PASS
M11,MTG1,Not Equivalent,"SI=inf, FI=inf","Shortest path: ['A']
Total distance: inf","Shortest path: ['G']
Total distance: inf",source distance == follow-up distance,PASS
