Mutant ID,MTG ID,Status,Notes,Actual Output SI,Actual Output FI1,Actual Output FI2,Actual Output Relation,MR Verdict
M1,MTG6,Not Equivalent,"SI=11.0, FI1=8.0, FI2=3.0","Shortest path: ['A', 'D', 'E', 'G']
Total distance: 11.0","Shortest path: ['A', 'D', 'E']
Total distance: 8.0","Shortest path: ['E', 'G']
Total distance: 3.0",source distance == FI1 distance + FI2 distance,PASS
M1,MTG7,Not Equivalent,"SI=5.0, FI1=2.0, FI2=3.0","Shortest path: ['1', '3', '4', '6']
Total distance: 5.0","Shortest path: ['1', '3']
Total distance: 2.0","Shortest path: ['3', '4', '6']
Total distance: 3.0",source distance == FI1 distance + FI2 distance,PASS
M1,MTG8,Not Equivalent,"SI=8.0, FI1=3.0, FI2=5.0","Shortest path: ['M', 'N', 'O', 'P', 'Q']
Total distance: 8.0","Shortest path: ['M', 'N', 'O']
Total distance: 3.0","Shortest path: ['O', 'P', 'Q']
Total distance: 5.0",source distance == FI1 distance + FI2 distance,PASS
M1,MTG9,Not Equivalent,"SI=8.0, FI1=3.0, FI2=5.0","Shortest path: ['S', 'A', 'C', 'D', 'T']
Total distance: 8.0","Shortest path: ['S', 'A', 'C']
Total distance: 3.0","Shortest path: ['C', 'D', 'T']
Total distance: 5.0",source distance == FI1 distance + FI2 distance,PASS
M1,MTG10,Not Equivalent,"SI=9.0, FI1=3.0, FI2=6.0","Shortest path: ['X', 'A', 'B', 'Y']
Total distance: 9.0","Shortest path: ['X', 'A']
Total distance: 3.0","Shortest path: ['A', 'B', 'Y']
Total distance: 6.0",source distance == FI1 distance + FI2 distance,PASS
M2,MTG6,Not Equivalent,"SI=inf, FI1=inf, FI2=inf","Shortest path: ['A']
Total distance: inf","Shortest path: ['A']
Total distance: inf","Shortest path: ['E']
Total distance: inf",source distance == FI1 distance + FI2 distance,PASS
M2,MTG7,Not Equivalent,"SI=inf, FI1=inf, FI2=inf","Shortest path: ['1']
Total distance: inf","Shortest path: ['1']
Total distance: inf","Shortest path: ['3']
Total distance: inf",source distance == FI1 distance + FI2 distance,PASS
M2,MTG8,Not Equivalent,"SI=inf, FI1=inf, FI2=inf","Shortest path: ['M']
Total distance: inf","Shortest path: ['M']
Total distance: inf","Shortest path: ['O']
Total distance: inf",source distance == FI1 distance + FI2 distance,PASS
M2,MTG9,Not Equivalent,"SI=inf, FI1=inf, FI2=inf","Shortest path: ['S']
Total distance: inf","Shortest path: ['S']
Total distance: inf","Shortest path: ['C']
Total distance: inf",source distance == FI1 distance + FI2 distance,PASS
M2,MTG10,Not Equivalent,"SI=inf, FI1=inf, FI2=inf","Shortest path: ['X']
Total distance: inf","Shortest path: ['X']
Total distance: inf","Shortest path: ['A']
Total distance: inf",source distance == FI1 distance + FI2 distance,PASS
M3,MTG6,Not Equivalent,"SI=inf, FI1=inf, FI2=inf","Shortest path: ['A']
Total distance: inf","Shortest path: ['A']
Total distance: inf","Shortest path: ['E']
Total distance: inf",source distance == FI1 distance + FI2 distance,PASS
M3,MTG7,Not Equivalent,"SI=inf, FI1=inf, FI2=inf","Shortest path: ['1']
Total distance: inf","Shortest path: ['1']
Total distance: inf","Shortest path: ['3']
Total distance: inf",source distance == FI1 distance + FI2 distance,PASS
M3,MTG8,Not Equivalent,"SI=inf, FI1=inf, FI2=inf","Shortest path: ['M']
Total distance: inf","Shortest path: ['M']
Total distance: inf","Shortest path: ['O']
Total distance: inf",source distance == FI1 distance + FI2 distance,PASS
M3,MTG9,Not Equivalent,"SI=inf, FI1=inf, FI2=inf","Shortest path: ['S']
Total distance: inf","Shortest path: ['S']
Total distance: inf","Shortest path: ['C']
Total distance: inf",source distance == FI1 distance + FI2 distance,PASS
M3,MTG10,Not Equivalent,"SI=inf, FI1=inf, FI2=inf","Shortest path: ['X']
Total distance: inf","Shortest path: ['X']
Total distance: inf","Shortest path: ['A']
Total distance: inf",source distance == FI1 distance + FI2 distance,PASS
M4,MTG6,Not Equivalent,"SI=17.0, FI1=9.0, FI2=3.0","Shortest path: ['A', 'B', 'C', 'D', 'F', 'G']
Total distance: 17.0","Shortest path: ['A', 'B', 'C', 'E']
Total distance: 9.0","Shortest path: ['E', 'G']
Total distance: 3.0",source distance ≠ FI1 distance + FI2 distance,FAIL
M4,MTG7,Not Equivalent,"SI=5.0, FI1=2.0, FI2=3.0","Shortest path: ['1', '2', '4', '6']
Total distance: 5.0","Shortest path: ['1', '3']
Total distance: 2.0","Shortest path: ['3', '4', '6']
Total distance: 3.0",source distance == FI1 distance + FI2 distance,PASS
M4,MTG8,Not Equivalent,"SI=8.0, FI1=3.0, FI2=5.0","Shortest path: ['M', 'N', 'O', 'P', 'Q']
Total distance: 8.0","Shortest path: ['M', 'N', 'O']
Total distance: 3.0","Shortest path: ['O', 'P', 'Q']
Total distance: 5.0",source distance == FI1 distance + FI2 distance,PASS
M4,MTG9,Not Equivalent,"SI=8.0, FI1=3.0, FI2=5.0","Shortest path: ['S', 'B', 'C', 'D', 'T']
Total distance: 8.0","Shortest path: ['S', 'A', 'C']
Total distance: 3.0","Shortest path: ['C', 'D', 'T']
Total distance: 5.0",source distance == FI1 distance + FI2 distance,PASS
M4,MTG10,Not Equivalent,"SI=10.0, FI1=3.0, FI2=7.0","Shortest path: ['X', 'A', 'C', 'Y']
Total distance: 10.0","Shortest path: ['X', 'A']
Total distance: 3.0","Shortest path: ['A', 'C', 'Y']
Total distance: 7.0",source distance == FI1 distance + FI2 distance,PASS
M5,MTG6,Not Equivalent,Output did not contain a parseable distance,"Shortest path: ['A', 'D', 'E', 'F', 'G']
Total distance: -17.0","Shortest path: ['A', 'D', 'E']
Total distance: -8.0","Shortest path: ['E', 'F', 'G']
Total distance: -9.0",ERROR - could not parse distance,ERROR
M5,MTG7,Not Equivalent,Output did not contain a parseable distance,"Shortest path: ['1', '2', '5', '6']
Total distance: -12.0","Shortest path: ['1', '3']
Total distance: -2.0","Shortest path: ['3', '5', '6']
Total distance: -6.0",ERROR - could not parse distance,ERROR
M5,MTG8,Not Equivalent,Output did not contain a parseable distance,"Shortest path: ['M', 'O', 'P', 'Q']
Total distance: -13.0","Shortest path: ['M', 'O']
Total distance: -8.0","Shortest path: ['O', 'P', 'Q']
Total distance: -5.0",ERROR - could not parse distance,ERROR
M5,MTG9,Not Equivalent,Output did not contain a parseable distance,"Shortest path: ['S', 'B', 'C', 'D', 'T']
Total distance: -11.0","Shortest path: ['S', 'B', 'C']
Total distance: -6.0","Shortest path: ['C', 'D', 'T']
Total distance: -5.0",ERROR - could not parse distance,ERROR
M5,MTG10,Not Equivalent,Output did not contain a parseable distance,"Shortest path: ['X', 'B', 'Y']
Total distance: -14.0","Shortest path: ['X', 'A']
Total distance: -3.0","Shortest path: ['A', 'C', 'Y']
Total distance: -7.0",ERROR - could not parse distance,ERROR
M6,MTG6,Not Equivalent,"SI=0.0, FI1=0.0, FI2=0.0","Shortest path: ['A', 'B', 'E', 'G']
Total distance: 0.0","Shortest path: ['A', 'B', 'E']
Total distance: 0.0","Shortest path: ['E', 'G']
Total distance: 0.0",source distance == FI1 distance + FI2 distance,PASS
M6,MTG7,Not Equivalent,"SI=0.0, FI1=0.0, FI2=0.0","Shortest path: ['1', '2', '4', '6']
Total distance: 0.0","Shortest path: ['1', '3']
Total distance: 0.0","Shortest path: ['3', '4', '6']
Total distance: 0.0",source distance == FI1 distance + FI2 distance,PASS
M6,MTG8,Not Equivalent,"SI=0.0, FI1=0.0, FI2=0.0","Shortest path: ['M', 'O', 'P', 'Q']
Total distance: 0.0","Shortest path: ['M', 'O']
Total distance: 0.0","Shortest path: ['O', 'P', 'Q']
Total distance: 0.0",source distance == FI1 distance + FI2 distance,PASS
M6,MTG9,Not Equivalent,"SI=0.0, FI1=0.0, FI2=0.0","Shortest path: ['S', 'B', 'C', 'D', 'T']
Total distance: 0.0","Shortest path: ['S', 'B', 'C']
Total distance: 0.0","Shortest path: ['C', 'D', 'T']
Total distance: 0.0",source distance == FI1 distance + FI2 distance,PASS
M6,MTG10,Not Equivalent,"SI=0.0, FI1=0.0, FI2=0.0","Shortest path: ['X', 'B', 'Y']
Total distance: 0.0","Shortest path: ['X', 'A']
Total distance: 0.0","Shortest path: ['A', 'B', 'Y']
Total distance: 0.0",source distance == FI1 distance + FI2 distance,PASS
